iter	AUC	Logloss
187	0.9775775572	0.1799065128
188	0.9775951402	0.1798490581
189	0.9776112782	0.1797889809
190	0.9776184456	0.1797557892
191	0.9776247314	0.1797297258
192	0.9776315403	0.1797063464
193	0.9776577803	0.1796141555
194	0.9776643681	0.1795906562
195	0.9776712492	0.1795520879
196	0.9776792802	0.1795257604
197	0.9776940969	0.179479218
198	0.9777034301	0.1794559721
199	0.9777125226	0.1794200471
200	0.9777240786	0.1793765399
201	0.9777283716	0.1793639941
202	0.9777316889	0.1793486314
203	0.9777373135	0.1793292369
204	0.9777494654	0.1792846913
205	0.9777574155	0.1792590894
206	0.9777712974	0.1792113554
207	0.9777766068	0.1791858372
208	0.9777871744	0.1791575126
209	0.9777954972	0.1791315769
210	0.9777976237	0.1791209708
211	0.9778129576	0.1790613082
212	0.9778191095	0.1790399159
213	0.9778255865	0.179009833
214	0.9778302239	0.1789902473
215	0.9778349407	0.1789767183
216	0.9778415363	0.1789520263
217	0.9778518512	0.1789167704
218	0.9778646964	0.1788796684
219	0.9778720394	0.17884621
220	0.9778785847	0.1788228261
221	0.9778862798	0.1787972775
222	0.9779012851	0.1787409541
223	0.9779086027	0.1787103962
224	0.9779154912	0.1786851723
225	0.9779295471	0.1786405663
226	0.9779347289	0.1786241352
227	0.9779455653	0.1785967942
228	0.9779534053	0.1785594768
229	0.9779642567	0.1785239892
230	0.9779722867	0.1784972456
231	0.9779812412	0.1784660325
232	0.9779862857	0.178449759
233	0.9780035092	0.1783860193
234	0.9780062915	0.1783755906
235	0.9780113993	0.1783635878
236	0.9780146362	0.1783505886
237	0.978019325	0.1783351481
238	0.9780235235	0.1783142467
239	0.9780401388	0.1782496149
240	0.9780526515	0.1782045401
241	0.9780578467	0.1781850475
242	0.9780617746	0.1781675369
243	0.9780651485	0.1781484154
244	0.9780701289	0.1781244862
245	0.9780871533	0.1780601068
246	0.978096526	0.1780293091
247	0.9780986893	0.1780188615
248	0.9781067077	0.1779973839
249	0.9781154856	0.1779689175
250	0.9781199364	0.1779557454
251	0.978123844	0.1779447687
252	0.9781277733	0.1779327204
253	0.9781341617	0.1779147116
254	0.9781454562	0.1778759122
255	0.9781530216	0.1778510541
256	0.9781593762	0.1778266205
257	0.9781642956	0.1778017636
258	0.9781658581	0.1777978007
259	0.9781795042	0.1777510102
260	0.9781830506	0.1777401811
261	0.9781890265	0.1777219924
262	0.9781931696	0.1777055453
263	0.9782023626	0.1776773362
264	0.9782085683	0.1776522589
265	0.9782146257	0.1776360958
266	0.9782259554	0.177601457
267	0.9782311282	0.1775790962
268	0.9782373582	0.1775540158
269	0.9782514703	0.1775033706
270	0.9782629535	0.1774490742
271	0.9782683933	0.1774163337
272	0.978271083	0.177400308
273	0.9782863371	0.1773455877
274	0.9782931815	0.1773207968
275	0.9783002235	0.1772955789
276	0.9783133717	0.177249694
277	0.9783162161	0.1772412994
278	0.9783228624	0.1772138083
279	0.9783323171	0.1771763968
280	0.9783391578	0.1771575505
281	0.9783420662	0.1771459411
282	0.9783465076	0.177130242
283	0.9783527887	0.1771092232
284	0.978357459	0.1770900619
285	0.9783604183	0.1770753258
286	0.9783652955	0.1770593421
287	0.9783691206	0.1770476987
288	0.9783738976	0.1770248725
289	0.9783796781	0.1770010669
290	0.9783892563	0.1769563726
291	0.9783948954	0.1769398362
292	0.9783995803	0.1769210318
293	0.9784056543	0.1768966804
294	0.9784097043	0.1768835928
